제목,리뷰,평점
어벤져스: 엔드게임,와... 나는 아이언맨이다 ,10
어벤져스: 엔드게임,처음과 끝이 완벽한 유일한 영화 ,10
어벤져스: 엔드게임,하워드스타크씬때 존나 욺... ,10
어벤져스: 엔드게임,"10년의 역사, 10년의 추억, 10년의 주마등이 스쳐간 영화 완벽하고 간결한 마무리. ",10
어벤져스: 엔드게임,"시리즈 영화중 최고 철학내용 좋고, 영상미 예술이다. 캡틴마블 근데 뭐야 너무 혼자 먼치킨이야 ",10
어스,마지막 반전 ㅋㅋ  신선했음 ,6
어벤져스: 엔드게임,10년이 지나 웃으며 다시 찾아오겠습니다 ,10
어벤져스: 엔드게임,마블도 앞으로 이런 영화 다시 못 만들 듯 ㅠㅠ ,10
어벤져스: 엔드게임,1시간30분까지는 주무셔도되고 나머지는 하이라트니까 다보세요 ,10
어벤져스: 엔드게임,모두 스포 하지말고 쉬잇!! ,10
어벤져스: 엔드게임,타노스는 왜 죽인거죠? 초반부터 화나서 집중이 안됨. 타노스 살려내라 ,6
어벤져스: 엔드게임,"긴말 필요 x 쌉레전드 .,. ",10
어벤져스: 엔드게임,마지막까지 최고였습니다! ,10
케이 팩스,죽기전에 봐야할 영화 리스트에 추가함.. ,10
어벤져스: 엔드게임,마.스.터.피.스 걸작 그 자체. ,10
헬보이,이런 피퉈기는 액션 오랜만 ,8
어벤져스: 엔드게임,웅장하고 거대했다인피니티워 보다 더 ,10
어벤져스: 엔드게임,타노스는 리틀포레스트 찍을려고 스톤 모았구나 ,10
어벤져스: 엔드게임,하...먹먹멍멍멍멍ㅁ ,10
어벤져스: 엔드게임,식은땀이 날 정도였음... ,10
핵소 고지,지금 씨지비에서 핵소고지하는데 멜깁슨 감독거네 ,8
어벤져스: 엔드게임,10년간 마블영화와 함께했던 순간들이 마치 주마등처럼 스쳐지나갔네요 친구와  연인과 가족과 함께 즐겼던 그 장면들이 ,10
에이리언: 커버넌트,스토리는 그럭저럭 흥미로웠는데 전개가 거의 B급 호러무비에서나 보던 바로 그 전개... 그리고 외계행성 개척 하러가는 몸가짐이 거의 뒷동네 산책 수준.. 놀랍고 또 놀라웠습니다 ,6
돈,두번 봣어요 난 재있었음 ,10
어벤져스: 엔드게임,11년의 마지막을 3시간동안 맞이하다... ,9
어벤져스: 엔드게임,어벤저스 최대 피해자는 코카콜라 ㅋㅋ ,10
요로나의 저주,진부한 스토리와 전작보다 못한 귀신의 비주얼 ,8
어벤져스: 엔드게임,스포당하기 싫어서 조조로 봤습니다. 보실분들 팝콘+음료수 사지마세요. 화장실 가고픈데 화장실 갈 타이밍이 애매해요. 어벤져스 3000만큼 사랑해♡ ,10
어벤져스: 엔드게임,추억을 마무리하기엔 좋았음토르 라그나로크 만큼의 강렬함이 남지는 않음 ,6
어벤져스: 엔드게임,너무 깔끔해서 여운이 남는다.. ,10
어벤져스: 엔드게임,손가락은 한번 팅기면 정이 없지. ,10
창궐,현빈 얼굴이 다했다. 얼굴 열일해서 별 두개 ,2
캡틴 마블,개인적으로마블영화중 최악 ,4
어벤져스: 엔드게임,막판 한타씬은 ..와;; 그냥 넋놓고 봣네요...진짜 미친영화입니다ㅠ ,10
어벤져스: 엔드게임,지려요.. 진짜 재밌어용 ,10
어벤져스: 엔드게임,진심 개꿀잼! 빨리봐요 두번봐요 세번봐요 ,10
어벤져스: 엔드게임,지림 스포는 하지맙시다 ,10
그것만이 내 세상,좋은 영화 정말 잘 봤습니다. 내가 너무 좋아하는 노래를 제목으로 삼았기에 다운 받아 봤는데 아직도 가슴이 짠하네요. ,10
어벤져스: 엔드게임,개꿀잼이여~~~ㅎㅎ ,10
어벤져스: 엔드게임,진짜 재밌게 봤어요 ^^ ,10
어벤져스: 엔드게임,개인적으론 아쉬운점이 많고 파워벨런스는 역시 무너진지 오래... 전작을 캡틴마블을 출현시키려고 밑밥을 그리 깔더니만 정작 영화에선 활약이 크게없음.  워낙에 시나리오나 은퇴배우가 알려져서 스토리는 어느정도 예상했고 충격적인 장면은 ... 그 어후ㅋㅋ ,9
어벤져스: 엔드게임,진심 마블 최고의 하이라이트 였습니다스트레인지 포탈로 모두 들어올때 계속 소름 만 돋았네요 ,10
어벤져스: 엔드게임,3000점 드릴게요 흑 ,10
알리타: 배틀 엔젤,감동의도가니 원작이 영화가되면 이런 느낌! ,10
요로나의 저주,그저그럼 . 그래도근래영화중 업 ,6
너브,스토리도 좋고 엔딩도 맘에 든 작품 ,10
우상,이딴거 찍고 한국영화 살리기 어쩌고 하지말자 인간적으로  어!? ,1
어벤져스: 엔드게임,진짜 후회없이 볼 수있는 영화 ,10
어벤져스: 엔드게임,너무 쟈밌다 보다 울엇다 ,10
어벤져스: 엔드게임,진짜 너무 재밌고 재밌다 ,10
어벤져스: 엔드게임,진짜 레전드 영화입니다 슬프고 웃기고 꼭보세요 두번보세요 ,10
어벤져스: 엔드게임,시작은 뭐야!.... 이지만  후반부는 재미있음. ,6
어벤져스: 엔드게임,미쳤다ㅜㅠ세시간이 짧게 느껴짐 ,10
어벤져스: 엔드게임,와 씨발....OOO ,10
